,Game ID,Team,Away or Home,Score,Rank,Date,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,3 Pointers Made,3 Pointers Attempted,Free Throws Made,Free Throws Attempted,Field Goals Made,Field Goals Attempted,FG%,FT%,TP%,Off Score,Winner
114,6290094,East Tenn. St.,1,73.0,7,03/09/2024,42,18,24,10,8,2,14,12,5.0,11.0,12.0,24.0,9.0,18.0,26.0,60.0,0.4333333333333333,0.5,0.5,62.0,1
115,6290094,UNC Greensboro,1,62.0,2,03/09/2024,33,14,19,11,10,5,15,16,-5.0,-11.0,7.0,27.0,7.0,9.0,24.0,60.0,0.4,0.7777777777777778,0.2592592592592592,73.0,0
116,6290800,Albany,1,72.0,8,03/09/2024,34,9,25,11,4,8,11,23,7.0,-3.0,8.0,22.0,10.0,10.0,27.0,58.0,0.4655172413793103,1.0,0.3636363636363636,75.0,0
117,6290800,Vermont,1,75.0,1,03/09/2024,32,10,22,10,7,5,7,13,-7.0,3.0,4.0,16.0,23.0,32.0,24.0,55.0,0.4363636363636363,0.71875,0.25,72.0,1
118,6290801,Binghamton,1,64.0,5,03/09/2024,27,4,23,11,3,6,15,19,1.0,-13.0,5.0,15.0,15.0,24.0,22.0,44.0,0.5,0.625,0.3333333333333333,77.0,0
119,6290801,New Hampshire,1,77.0,4,03/09/2024,30,7,23,11,9,2,9,19,-1.0,13.0,10.0,24.0,19.0,21.0,24.0,54.0,0.4444444444444444,0.9047619047619048,0.4166666666666667,64.0,1
120,6290803,UMBC,1,89.0,7,03/09/2024,32,6,26,20,10,6,10,23,5.0,-5.0,11.0,32.0,12.0,16.0,33.0,77.0,0.4285714285714285,0.75,0.34375,94.0,0
121,6290803,UMass-Lowell,1,94.0,2,03/09/2024,56,16,40,17,5,4,20,13,-5.0,5.0,10.0,26.0,20.0,31.0,32.0,69.0,0.463768115942029,0.6451612903225806,0.3846153846153846,89.0,1
122,6290189,Northern Iowa,1,72.0,4,03/09/2024,26,6,20,12,5,1,5,15,3.0,-22.0,9.0,26.0,13.0,17.0,25.0,61.0,0.4098360655737705,0.7647058823529411,0.3461538461538461,94.0,0
123,6290189,Indiana St.,1,94.0,1,03/09/2024,38,6,32,22,2,0,8,16,-3.0,22.0,15.0,29.0,9.0,11.0,35.0,61.0,0.5737704918032787,0.8181818181818182,0.5172413793103449,72.0,1
