,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
104,6291015,Le Moyne,Away team,51.0,4,9,0.3469387755102041,0.3,0.9166666666666666,33,9,24,10,7,0,16,16,2,-10.0,0,66.5,0.3947808631649381,0.33571428571428574,0.875
105,6291015,Merrimack,Home team,61.0,2,9,0.42857142857142855,0.28,0.9230769230769231,29,5,24,12,9,5,12,16,-2,10.0,1,66.5,0.41798941798941797,0.32,0.8933566433566433
106,6289725,Georgia Southern,Away team,80.0,9,9,0.36585365853658536,0.36,0.7333333333333333,36,17,19,12,11,1,4,21,8,-5.0,0,78.0,0.420214964861513,0.3675,0.7333333333333333
107,6289725,Appalachian St.,Home team,85.0,1,9,0.5172413793103449,0.2,0.8518518518518519,47,11,36,17,3,12,17,13,-8,5.0,1,85.0,0.5172413793103449,0.2,0.8518518518518519
108,6289980,Gardner-Webb,Away team,72.0,3,9,0.4,0.25,0.6666666666666666,45,13,32,14,4,2,17,21,1,-11.0,0,66.5,0.41568627450980394,0.375,0.6333333333333333
109,6289980,UNC Asheville,Home team,83.0,2,9,0.4838709677419355,0.34615384615384615,0.6363636363636364,33,4,29,23,9,6,9,15,-1,11.0,1,71.5,0.4252688172043011,0.3130769230769231,0.6643356643356644
110,6290802,Maine,Away team,58.0,6,9,0.3220338983050847,0.2727272727272727,0.7777777777777778,23,9,14,9,10,3,9,12,3,-26.0,0,58.0,0.3220338983050847,0.2727272727272727,0.7777777777777778
111,6290802,Bryant,Home team,84.0,3,9,0.5818181818181818,0.6470588235294118,0.8181818181818182,41,9,32,17,6,6,15,16,-3,26.0,1,84.0,0.5818181818181818,0.6470588235294118,0.8181818181818182
112,6290085,William & Mary,Away team,56.0,13,9,0.3620689655172414,0.3333333333333333,0.5714285714285714,36,12,24,12,2,1,11,17,8,-11.0,0,67.5,0.38557993730407525,0.3333333333333333,0.5900621118012422
113,6290085,Towson,Home team,67.0,5,9,0.4,0.3333333333333333,0.8095238095238095,38,11,27,11,7,7,7,13,-8,11.0,1,67.0,0.4,0.3333333333333333,0.8095238095238095
